Key,Course Code,Course Name,Year,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,Appropriateness Of Assessment Tools,Course Suggestions,Like,Dislike,Hosting Tools,Lecture Rating,Text Book Availability
64e4e668031ce84c3e08d4ac,18CS520,Theory of computation,2022-23 ODD,3,3,4,3,2,3,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4df,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4e0,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4e2,18CS520,Theory of computation,2022-23 ODD,3,2,1,1,1,1,NA,NA,changesRequired,Nothing to say everything is fine,Problem Solving,Studying various complex concepts which are actually very shallow for application with our domain,average,average,available
64e4e668031ce84c3e08d4e4,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4c9,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,We weren't aware of some concepts which wasn't taught due to short period,Problem Solving,Not all concepts were taught due to lack of time,good,good,moreCopiesRequired
64e4e668031ce84c3e08d4fb,18CS520,Theory of computation,2022-23 ODD,3,3,3,3,3,3,NA,NA,notAppropriate,Nothing,Problem Solving,Not proper lecture were given,average,good,notAvailable
64e4e668031ce84c3e08d506,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,No,Problem Solving,No,excellent,excellent,available
64e4e668031ce84c3e08d508,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,4,NA,NA,appropriate,Nothing,Problem Solving,Not explained some topics detailed,good,good,moreCopiesRequired
64e4e668031ce84c3e08d50f,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,None,Problem Solving,Nothing to specify,excellent,excellent,available
64e4e668031ce84c3e08d510,18CS520,Theory of computation,2022-23 ODD,3,4,2,3,2,3,NA,NA,notAppropriate,-,Problem Solving,-,average,average,available
64e4e668031ce84c3e08d513,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,4,NA,NA,appropriate,Good content,Problem Solving,The boundary is vast,excellent,excellent,available
64e4e668031ce84c3e08d50a,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Perfect,Problem Solving,No,excellent,excellent,available
64e4e668031ce84c3e08d4ae,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Good enough,Problem Solving,Nothing,excellent,excellent,available
64e4e668031ce84c3e08d4b5,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Teaching was excellent but strict.,Problem Solving,Lab sessions were so strict,good,good,available
64e4e668031ce84c3e08d4bd,18CS520,Theory of computation,2022-23 ODD,4,5,4,3,4,3,NA,NA,changesRequired,"At the beginning of the course ,the course outcomes must be provided",Problem Solving,Not proper scheduling of course outcomes,good,good,available
64e4e668031ce84c3e08d4c6,18CS520,Theory of computation,2022-23 ODD,NA,NA,1,4,NA,2,NA,NA,appropriate,Best experience,Problem Solving,Nill,excellent,excellent,available
64e4e668031ce84c3e08d4ca,18CS520,Theory of computation,2022-23 ODD,5,5,5,3,3,2,NA,NA,appropriate,No,Problem Solving,The past Cos were not covered fully,excellent,good,available
64e4e668031ce84c3e08d4d0,18CS520,Theory of computation,2022-23 ODD,5,4,3,4,3,5,NA,NA,changesRequired,,Problem Solving,The complexity of almost all the topics,average,good,moreCopiesRequired
64e4e668031ce84c3e08d4d8,18CS520,Theory of computation,2022-23 ODD,4,5,4,5,4,5,NA,NA,appropriate,Nothing,Problem Solving,Can give still more questions to solve,excellent,good,notAvailable
64e4e668031ce84c3e08d4d9,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,None,Problem Solving,Nothing to specify,excellent,excellent,available
64e4e668031ce84c3e08d4e5,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,No proper material available for the whole course.,Problem Solving,Lots of concepts,good,excellent,notAvailable
64e4e668031ce84c3e08d4e6,18CS520,Theory of computation,2022-23 ODD,5,5,5,4,5,5,NA,NA,appropriate,No,Problem Solving,No,excellent,excellent,notAvailable
64e4e668031ce84c3e08d4f1,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,None,Problem Solving,Nothing to specify,excellent,excellent,available
64e4e668031ce84c3e08d4f5,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4f8,18CS520,Theory of computation,2022-23 ODD,5,4,4,5,4,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,moreCopiesRequired
64e4e668031ce84c3e08d4f9,18CS520,Theory of computation,2022-23 ODD,4,3,4,3,2,4,NA,NA,appropriate,Nothing,Problem Solving,More classes must be,good,good,available
64e4e668031ce84c3e08d4fe,18CS520,Theory of computation,2022-23 ODD,4,4,4,4,4,4,NA,NA,appropriate,-,Problem Solving,-,good,good,moreCopiesRequired
64e4e668031ce84c3e08d4cb,18CS520,Theory of computation,2022-23 ODD,5,5,5,3,3,2,NA,NA,appropriate,No,Problem Solving,The past Cos were not covered fully,excellent,good,available
64e4e668031ce84c3e08d51a,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,4,NA,NA,appropriate,Good content,Problem Solving,The boundary is vast,excellent,excellent,available
64e4e668031ce84c3e08d519,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,4,NA,NA,appropriate,Good content,Problem Solving,The boundary is vast,excellent,excellent,available
64e4e668031ce84c3e08d50b,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,No,excellent,excellent,available
64e4e668031ce84c3e08d4ad,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,4,4,NA,NA,appropriate,None,Problem Solving,None,good,good,available
64e4e668031ce84c3e08d4b2,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,changesRequired,Nothing,Problem Solving,Nothing,good,good,moreCopiesRequired
64e4e668031ce84c3e08d4c1,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Better,Problem Solving,No,excellent,excellent,available
64e4e668031ce84c3e08d4ab,18CS520,Theory of computation,2022-23 ODD,3,3,4,3,2,3,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4de,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4e7,18CS520,Theory of computation,2022-23 ODD,5,5,5,4,5,5,NA,NA,appropriate,No,Problem Solving,No,excellent,excellent,notAvailable
64e4e668031ce84c3e08d4eb,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,It would be applicable to reduce the CO based on time availability,Problem Solving,Not sufficient time,good,good,available
64e4e668031ce84c3e08d4f0,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,-,Problem Solving,Electronics related topic (Amplifier),good,excellent,moreCopiesRequired
64e4e668031ce84c3e08d4fc,18CS520,Theory of computation,2022-23 ODD,5,4,5,5,5,4,NA,NA,appropriate,-,Problem Solving,-,good,good,available
64e4e668031ce84c3e08d502,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,No,Problem Solving,No,excellent,excellent,available
64e4e668031ce84c3e08d50d,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Teaching was good,Problem Solving,Nothing,excellent,excellent,available
64e4e668031ce84c3e08d515,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,4,NA,NA,appropriate,Good content,Problem Solving,The boundary is vast,excellent,excellent,available
64e4e668031ce84c3e08d512,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Need more materials,Problem Solving,There is no proper material for the whole course as a one book. Need to refer from various sources and books.,good,good,moreCopiesRequired
64e4e668031ce84c3e08d4b6,18CS520,Theory of computation,2022-23 ODD,4,4,4,4,5,5,NA,NA,appropriate,No,Problem Solving,Nothing,good,excellent,available
64e4e668031ce84c3e08d4c0,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4d2,18CS520,Theory of computation,2022-23 ODD,4,5,5,5,5,5,NA,NA,appropriate,-,Problem Solving,-,excellent,good,available
64e4e668031ce84c3e08d4dc,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,No,Problem Solving,No,excellent,excellent,available
64e4e668031ce84c3e08d4dd,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Not enough time to workout the sums,Problem Solving,Lots of concepts,good,good,available
64e4e668031ce84c3e08d4f4,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,No,Problem Solving,Minimum time to cover the entire syllabus,excellent,excellent,notAvailable
64e4e668031ce84c3e08d4f7,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,changesRequired,Perfect,Problem Solving,-,excellent,excellent,available
64e4e668031ce84c3e08d501,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Questions were too tough during practical exams,good,excellent,moreCopiesRequired
64e4e668031ce84c3e08d507,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d517,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,4,NA,NA,appropriate,Good content,Problem Solving,The boundary is vast,excellent,excellent,available
